🕘️更新时间,#genre#
2025-03-12 18:32:10,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33$订阅源-1920x1080

📺央视频道,#genre#
CCTV-1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33$订阅源-1920x1080
CCTV-1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33$订阅源-1920x1080
CCTV-1,http://z.b.bkpcp.top/m.php?id=cctv1$订阅源-1920x1080
CCTV-1,http://goo.bkpcp.top/mg/cctv1$订阅源-1920x1080
CCTV-1,http://39.170.52.236:808/hls/1/index.m3u8$订阅源-1920x1080
CCTV-1,http://[2409:8087:5e08:24::2]:6610/000000001000/1000000001000018602/index.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=3$订阅源-IPv6-1920x1080
CCTV-1,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000010000030810/1.m3u8$订阅源-IPv6-1920x1080
CCTV-1,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010011/1.m3u8$订阅源-IPv6-1920x1080
CCTV-1,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000006000233001/1.m3u8$订阅源-IPv6-1920x1080
CCTV-1,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000021973/1.m3u8$订阅源-IPv6-1920x1080
CCTV-2,http://z.b.bkpcp.top/m.php?id=cctv2$订阅源-1920x1080
CCTV-2,http://goo.bkpcp.top/mg/cctv2$订阅源-1920x1080
CCTV-2,http://39.170.52.236:808/hls/2/index.m3u8$订阅源-1920x1080
CCTV-2,http://58.19.43.46:9901/tsfile/live/1021_1.m3u8$订阅源-1920x1080
CCTV-2,http://61.138.128.226:19901/tsfile/live/0002_1.m3u8$订阅源-1920x1080
CCTV-2,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031101/index.m3u8?channel-id=bestzb&Contentid=5000000011000031101&livemode=1&stbId=3$订阅源-IPv6-1920x1080
